match_id,team1_id,team2_id
1254061,16,5
1254062,7,1
1254063,2,11
1254064,15,5
1254065,16,3
1254066,7,11
1254067,2,1
1254068,16,15
1254069,3,5
1254070,7,15
1254071,16,11
1254072,3,1
1254073,5,2
1254074,7,16
1254075,1,5
1254076,3,2
1254077,15,11
1254078,16,1
1254079,2,15
1254080,11,3
1254081,5,7
1254082,1,15
1254083,16,2
1254084,3,7
1254085,5,11
1254086,16,15
1254087,2,1
1254088,7,11
1254089,3,5
1254090,2,16
1254091,11,3
1254092,15,1
1254093,5,7
1254094,3,16
1254095,11,2
1254096,7,1
1254097,15,5
1254098,1,3
1254099,16,7
1254100,5,11
1254101,15,2
1254102,1,16
1254103,5,2
1254104,3,7
1254105,11,15
1254106,1,5
1254107,16,11
1254108,2,7
1254109,11,1
1254110,3,15
1254111,5,16
1254112,7,15
1254113,2,3
1254114,15,3
1254115,2,1
1254116,15,1
1254117,3,1
1304047,3,1
1304048,7,15
1304049,2,16
1304050,17,18
1304051,5,11
1304052,1,2
1304053,3,17
1304054,16,1
1304055,5,7
1304056,18,15
1304057,16,3
1304058,17,11
1304059,5,2
1304060,7,1
1304061,15,17
1304062,16,18
1304063,3,11
1304064,7,2
1304065,15,1
1304066,5,17
1304067,18,11
1304068,3,2
1304069,16,7
1304070,18,5
1304071,1,11
1304072,17,7
1304073,2,15
1304074,16,11
1304075,3,18
1304076,5,1
1304077,2,17
1304078,16,15
1304079,7,3
1304080,5,15
1304081,18,1
1304082,2,11
1304083,17,7
1304084,16,3
1304085,5,2
1304086,11,18
1304087,1,15
1304088,17,16
1304089,2,18
1304090,5,7
1304091,17,15
1304092,3,11
1304093,5,1
1304094,18,16
1304095,2,3
1304096,15,11
1304097,7,18
1304098,16,5
1304099,17,1
1304100,2,11
1304101,3,15
1304102,1,7
1304103,18,17
1304104,5,15
1304105,3,7
1304106,16,2
1304107,1,11
1304108,3,18
1304109,5,17
1304110,15,16
1304111,11,7
1304112,17,1
1304113,18,2
1304114,3,5
1304115,15,7
1304116,11,16
1312197,5,18
1312198,2,17
1312199,2,5
1312200,5,18
1359475,3,18
1359476,16,1
1359477,17,15
1359478,5,11
1359479,7,2
1359480,3,17
1359481,15,18
1359482,16,5
1359483,1,2
1359484,11,17
1359485,5,15
1359486,7,3
1359487,18,1
1359488,16,11
1359489,2,17
1359490,15,7
1359491,5,3
1359492,16,18
1359493,11,1
1359494,2,15
1359495,17,16
1359496,1,7
1359497,18,5
1359498,3,2
1359499,7,11
1359500,17,5
1359501,2,16
1359502,1,15
1359503,11,3
1359504,18,17
1359505,16,7
1359506,2,5
1359507,3,1
1359508,15,11
1359509,18,7
1359510,1,2
1359511,5,3
1359512,17,16
1359513,1,18
1359514,11,15
1359515,3,16
1359516,5,7
1359517,2,17
1359518,15,18
1359519,17,3
1359520,16,7
1359521,1,11
1359522,5,18
1359523,7,3
1359524,2,15
1359525,18,17
1359526,5,11
1359527,16,1
1359528,2,7
