match_id,toss_winner_id,toss_decision
1426286,17,field
1426287,16,field
1426288,11,bat
1426289,7,field
1426290,19,field
1426291,16,field
1426292,17,field
1426293,7,field
1426294,5,field
1426295,17,bat
1426296,16,field
1426297,3,field
1426298,7,field
1426299,5,bat
1426300,15,field
1426302,17,field
1426303,5,bat
1426305,7,field
1426306,3,field
1426307,16,bat
1426309,11,bat
1426310,5,field
1426311,5,field
1426312,11,bat
1473438,19,field
1473439,5,field
1473440,3,field
1473441,15,field
1473442,18,field
1473443,1,field
1473444,17,field
1473445,3,field
1473446,7,field
1473447,11,bat
1473448,3,field
1473449,7,field
1473450,16,field
1473451,18,field
1473452,11,field
1473453,7,field
1473454,15,bat
1473455,16,field
1473456,1,field
1473457,18,field
1473458,7,field
1473459,16,bat
1473460,5,field
1473461,15,field
1473462,1,field
1473463,17,field
1473464,16,bat
1473465,19,field
1473466,15,field
1473467,3,field
1473468,16,bat
1473469,5,field
1473470,7,field
1473471,16,field
1473472,18,field
1473473,17,bat
1473474,19,field
1473475,7,field
1473476,1,field
1473477,15,field
1473478,7,field
1473479,5,field
1473480,11,field
1473481,16,bat
1473482,17,field
1473483,19,field
1473484,5,field
1473485,15,field
1473486,16,field
1473487,5,field
1473488,11,field
1473489,3,field
1473490,1,bat
1473491,17,field
1473492,11,field
1473493,18,field
1473494,1,bat
1473495,16,bat
1473497,16,bat
1473498,18,field
1473499,11,field
1473500,5,field
1473501,15,field
1473502,18,field
1473503,19,field
1473504,3,bat
1473505,11,bat
1473506,16,field
1473507,19,field
1473508,19,field
1473509,7,bat
1473510,16,field
1473511,16,field
1485779,15,field
1527674,19,field
1527675,7,field
1527676,5,field
1527677,16,field
1527678,15,field
1527679,1,field
1527680,16,field
1527681,15,field
1527682,5,bat
1527683,17,field
1527684,3,field
1527685,1,bat
1527686,7,field
1527687,15,field
1527688,17,field
1527689,5,field
1527690,16,field
1527691,15,field
1527692,18,field
1527693,7,field
1529264,5,field
1529265,1,field
1529266,19,field
1529267,16,field
